WigleWifi-1.4,appRelease=2.25,model=SHIELD Tablet,release=7.0,device=shieldtablet,display=NRD90M.1928188_904.2811,board=unknown,brand=nvidia
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
6a:12:f5:f9:5e:71,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-27 16:16:45,8,-96,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
c4:3d:c7:5a:79:1c,tslila,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:16:45,11,-93,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
fc:b4:e6:cf:d1:dd,HOTBOX-D1D7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:16:45,1,-77,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
fc:3f:db:7e:60:a6,DIRECT-A5-HP DeskJet 4670 series,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-10-27 16:16:45,10,-90,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
90:8d:78:54:d9:69,Ab,[WPA2-PSK-CCMP][ESS],2017-10-27 16:16:45,10,-90,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
00:78:9e:fa:15:91,MOULY MAISON,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:16:45,1,-88,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
02:8d:db:6e:71:bf,888Guest,[ESS],2017-10-27 16:16:45,1,-80,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
06:8d:db:6e:71:6d,888Free,[ESS],2017-10-27 16:16:45,1,-81,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
02:8d:db:6e:71:6d,888Guest,[ESS],2017-10-27 16:16:45,1,-81,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
06:8d:db:6e:71:bf,888Free,[ESS],2017-10-27 16:16:45,1,-86,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
06:8d:db:6e:71:be,,[ESS],2017-10-27 16:16:45,11,-86,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
02:8d:db:6e:71:be,,[ESS],2017-10-27 16:16:45,11,-86,32.16766121892341,34.80988155918773,39.018065819940986,3,WIFI
0a:8d:db:6e:71:bf,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:17:01,1,-79,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
0a:8d:db:6e:71:be,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:17:01,11,-81,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
06:8d:db:6e:71:bf,888Free,[ESS],2017-10-27 16:17:01,1,-81,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
06:8d:db:6e:71:be,,[ESS],2017-10-27 16:17:01,11,-80,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
02:8d:db:6e:71:be,,[ESS],2017-10-27 16:17:01,11,-81,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
b0:aa:77:f1:3a:68,Shaked-Guest WiFi,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:17:01,11,-81,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-10-27 16:17:01,6,-86,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
cc:16:7e:97:1d:91,KaymeraDev,[WPA2-PSK-CCMP][ESS],2017-10-27 16:17:01,1,-93,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:17:01,5,-94,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
0a:8d:db:6e:71:26,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:17:01,6,-95,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
02:8d:cb:6e:71:bf,888Guest,[ESS],2017-10-27 16:17:01,44,-90,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
06:8d:cb:6e:71:bf,888Free,[ESS],2017-10-27 16:17:01,44,-90,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
02:8d:db:6e:71:26,,[ESS],2017-10-27 16:17:01,6,-95,32.167671222901205,34.80992484668563,39.29407685136998,3,WIFI
